player_id,last_transfer_to_club_id,last_transfer_date,last_transfer_fee,last_transfer_club_name,last_transfer_club_country,last_transfer_club_league,last_transfer_club_league_tier
3333,1237,2023-07-01,free transfer,Brighton & Hove Albion,England,Premier League,First Tier
7161,15,2023-07-05,€10.00m,Bayer 04 Leverkusen,Germany,Bundesliga,First Tier
7825,1050,2022-07-08,free transfer,Villarreal CF,Spain,LaLiga,First Tier
8198,18544,2023-01-01,,Al-Nassr FC,Saudi Arabia,Saudi Pro League,First Tier
11530,3205,2021-08-05,free transfer,Kayserispor,Türkiye,Süper Lig,First Tier
12282,12321,2023-07-07,free transfer,Girona FC,Spain,LaLiga,First Tier
12589,43,2020-07-01,free transfer,Heart of Midlothian FC,Scotland,Scottish Premiership,First Tier
14086,29,2023-07-13,free transfer,Everton FC,England,Premier League,First Tier
14555,281,2021-07-20,free transfer,Manchester City,England,Premier League,First Tier
15185,428,2021-07-06,free transfer,Górnik Zabrze,Poland,PKO BP Ekstraklasa,First Tier
15956,123,2025-01-01,,,,,
16136,417,2016-08-23,€2.50m,OGC Nice,France,Ligue 1,First Tier
16306,985,2022-08-22,€70.65m,Manchester United,England,Premier League,First Tier
16911,58,2023-09-05,free transfer,RSC Anderlecht,Belgium,Jupiler Pro League,First Tier
17259,27,2011-07-01,€30.00m,Bayern Munich,Germany,Bundesliga,First Tier
18922,8023,2023-07-01,free transfer,Al-Ittihad Club,Saudi Arabia,Saudi Pro League,First Tier
21040,715,2009-01-01,?,Bohemians Prague 1905,Czech Republic,Fortuna Liga,First Tier
21101,5544,2019-07-03,free transfer,1.FC Slovacko,Czech Republic,Fortuna Liga,First Tier
23951,273,2022-07-06,free transfer,Stade Rennais FC,France,Ligue 1,First Tier
26906,5546,2017-07-12,?,FK Mlada Boleslav,Czech Republic,Fortuna Liga,First Tier
27178,2424,2019-07-01,free transfer,Gil Vicente FC,Portugal,Liga Portugal,First Tier
27493,237,2023-08-28,free transfer,RCD Mallorca,Spain,LaLiga,First Tier
27807,410,2021-07-01,free transfer,Udinese Calcio,Italy,Serie A,First Tier
28308,168,2022-01-03,free transfer,Zaglebie Lubin,Poland,PKO BP Ekstraklasa,First Tier
28356,995,2019-08-01,free transfer,FC Nantes,France,Ligue 1,First Tier
28396,36,2023-07-01,free transfer,Fenerbahce,Türkiye,Süper Lig,First Tier
29241,2462,2024-07-10,free transfer,Fluminense Football Club,Brazil,Campeonato Brasileiro Série A,First Tier
29364,1075,2023-08-25,free transfer,SC Braga,Portugal,Liga Portugal,First Tier
29692,379,2018-07-01,€8.00m,West Ham United,England,Premier League,First Tier
29712,337,2022-07-14,free transfer,Birmingham City,England,Championship,Second Tier
31599,2036,2015-07-01,free transfer,1.FC Heidenheim 1846,Germany,Bundesliga,First Tier
31653,18,2015-07-01,free transfer,Borussia Mönchengladbach,Germany,Bundesliga,First Tier
32113,2919,2023-07-05,€3.00m,AC Monza,Italy,Serie A,First Tier
33571,1025,2020-09-17,free transfer,Bologna FC 1909,Italy,Serie A,First Tier
33706,515,2024-05-08,,,,,
33781,1082,2023-08-29,€200k,LOSC Lille,France,Ligue 1,First Tier
33829,515,2024-07-01,,,,,
33862,968,2022-07-01,free transfer,KVC Westerlo,Belgium,Jupiler Pro League,First Tier
33873,1039,2023-07-17,free transfer,Queens Park Rangers,England,Championship,Second Tier
34130,985,2021-07-02,free transfer,Manchester United,England,Premier League,First Tier
34542,5546,2021-07-05,free transfer,FK Mlada Boleslav,Czech Republic,Fortuna Liga,First Tier
35047,13,2022-07-06,free transfer,Atlético de Madrid,Spain,LaLiga,First Tier
35645,1496,2022-01-26,?,FK Pardubice,Czech Republic,Fortuna Liga,First Tier
36139,36,2023-07-16,free transfer,Fenerbahce,Türkiye,Süper Lig,First Tier
36898,35,2022-08-08,free transfer,FC St. Pauli,Germany,2. Bundesliga,Second Tier
37920,324,2021-08-21,free transfer,Pogon Szczecin,Poland,PKO BP Ekstraklasa,First Tier
38195,44006,2022-07-09,,Bodrum FK,Türkiye,1.Lig,Second Tier
38253,131,2022-07-19,€45.00m,FC Barcelona,Spain,LaLiga,First Tier
38746,255,2023-01-30,,Legia Warszawa,Poland,PKO BP Ekstraklasa,First Tier
38780,2425,2021-07-01,free transfer,Rio Ave FC,Portugal,Liga Portugal,First Tier
39125,124,2018-08-07,€2.45m,Rangers FC,Scotland,Scottish Premiership,First Tier
39333,7160,2023-07-11,free transfer,Eyüpspor,Türkiye,1.Lig,Second Tier
39728,16,2019-07-01,€30.50m,Borussia Dortmund,Germany,Bundesliga,First Tier
40034,24,2021-07-19,€250k,Eintracht Frankfurt,Germany,Bundesliga,First Tier
40433,46,2023-08-26,free transfer,Inter Milan,Italy,Serie A,First Tier
40478,968,2022-02-24,,KVC Westerlo,Belgium,Jupiler Pro League,First Tier
40633,252,2020-09-16,€1.95m,Genoa CFC,Italy,Serie A,First Tier
40680,27,2021-07-01,free transfer,Bayern Munich,Germany,Bundesliga,First Tier
41131,511,2023-08-03,?,Dundee FC,Scotland,Scottish Premiership,First Tier
41335,1293,2020-01-18,?,Tromsø IL,Norway,Eliteserien,First Tier
41384,46,2024-07-01,€8.00m,Inter Milan,Italy,Serie A,First Tier
41997,2817,2010-01-01,free transfer,Strømsgodset IF,Norway,Eliteserien,First Tier
42205,46,2023-08-07,€6.75m,Inter Milan,Italy,Serie A,First Tier
42401,255,2017-01-04,€900k,Legia Warszawa,Poland,PKO BP Ekstraklasa,First Tier
42412,985,2023-07-18,free transfer,Manchester United,England,Premier League,First Tier
42710,1096,2022-07-15,€4.00m,Royal Antwerp FC,Belgium,Jupiler Pro League,First Tier
42717,475,2022-07-01,?,Sint-Truidense VV,Belgium,Jupiler Pro League,First Tier
42735,157,2020-07-01,€1.50m,KAA Gent,Belgium,Jupiler Pro League,First Tier
43250,58,2022-09-02,free transfer,RSC Anderlecht,Belgium,Jupiler Pro League,First Tier
43530,515,2024-07-01,,,,,
43824,2036,2015-07-01,?,1.FC Heidenheim 1846,Germany,Bundesliga,First Tier
44058,506,2017-07-19,€18.40m,Juventus FC,Italy,Serie A,First Tier
44422,5546,2018-01-10,?,FK Mlada Boleslav,Czech Republic,Fortuna Liga,First Tier
44996,36,2019-01-31,free transfer,Fenerbahce,Türkiye,Süper Lig,First Tier
45026,12,2021-07-13,€11.80m,AS Roma,Italy,Serie A,First Tier
45146,3840,2023-09-15,free transfer,Adana Demirspor,Türkiye,Süper Lig,First Tier
45320,294,2023-07-05,free transfer,SL Benfica,Portugal,Liga Portugal,First Tier
45403,738,2023-11-11,,Le Havre AC,France,Ligue 1,First Tier
45425,324,2020-08-03,free transfer,Pogon Szczecin,Poland,PKO BP Ekstraklasa,First Tier
45494,515,2024-07-01,,,,,
45671,114,2022-07-02,free transfer,Besiktas JK,Türkiye,Süper Lig,First Tier
45672,24,2019-08-07,€7.00m,Eintracht Frankfurt,Germany,Bundesliga,First Tier
45683,60,2016-07-01,€1.20m,SC Freiburg,Germany,Bundesliga,First Tier
45717,110302,2023-07-01,,Avs Futebol SAD,Portugal,Liga Portugal 2,Second Tier
46252,6070,2023-07-31,€700k,Al-Khaleej FC,Saudi Arabia,Saudi Pro League,First Tier
46413,331,2021-07-01,€8.00m,CA Osasuna,Spain,LaLiga,First Tier
46552,5689,2023-08-30,free transfer,Cracovia,Poland,PKO BP Ekstraklasa,First Tier
46580,533,2016-07-01,€11.00m,TSG 1899 Hoffenheim,Germany,Bundesliga,First Tier
48015,15,2018-07-01,free transfer,Bayer 04 Leverkusen,Germany,Bundesliga,First Tier
48119,6890,2019-08-29,free transfer,Basaksehir FK,Türkiye,Süper Lig,First Tier
49499,7732,2023-09-02,€8.00m,Al-Ettifaq FC,Saudi Arabia,Saudi Pro League,First Tier
49723,24,2014-07-01,€1.00m,Eintracht Frankfurt,Germany,Bundesliga,First Tier
50219,2282,2019-08-05,€7.00m,Club Brugge KV,Belgium,Jupiler Pro League,First Tier
50655,11282,2013-07-17,?,Alanyaspor,Türkiye,Süper Lig,First Tier
51100,44,2012-08-31,free transfer,Hertha BSC,Germany,2. Bundesliga,Second Tier
51152,1114,2023-08-19,€52.60m,Al-Hilal SFC,Saudi Arabia,Saudi Pro League,First Tier
51471,281,2023-07-01,€29.10m,Manchester City,England,Premier League,First Tier
51894,114,2021-08-15,€1.30m,Besiktas JK,Türkiye,Süper Lig,First Tier
51977,82,2018-07-01,€500k,VfL Wolfsburg,Germany,Bundesliga,First Tier
52059,1148,2021-09-09,free transfer,Brentford FC,England,Premier League,First Tier
52261,6890,2014-07-11,free transfer,Basaksehir FK,Türkiye,Süper Lig,First Tier
52281,589,2021-07-05,free transfer,Antalyaspor,Türkiye,Süper Lig,First Tier
52570,148,2022-07-01,free transfer,Tottenham Hotspur,England,Premier League,First Tier
52769,931,2022-09-01,free transfer,Fulham FC,England,Premier League,First Tier
53418,23826,2017-08-31,€20.00m,RB Leipzig,Germany,Bundesliga,First Tier
53622,131,2023-07-01,free transfer,FC Barcelona,Spain,LaLiga,First Tier
54775,687,2018-07-25,free transfer,Molde FK,Norway,Eliteserien,First Tier
54906,46,2021-07-01,€3.30m,Inter Milan,Italy,Serie A,First Tier
55089,533,2014-07-01,€5.50m,TSG 1899 Hoffenheim,Germany,Bundesliga,First Tier
55099,60,2013-06-30,End of loan,SC Freiburg,Germany,Bundesliga,First Tier
55508,269,2021-08-17,free transfer,Holstein Kiel,Germany,2. Bundesliga,Second Tier
55605,3205,2023-09-15,?,Kayserispor,Türkiye,Süper Lig,First Tier
55666,9811,2024-01-01,free transfer,Deportivo Pereira,Colombia,Liga Dimayor Apertura,First Tier
55735,46,2022-07-01,free transfer,Inter Milan,Italy,Serie A,First Tier
55769,2919,2023-08-02,free transfer,AC Monza,Italy,Serie A,First Tier
56416,141,2022-08-08,free transfer,Galatasaray,Türkiye,Süper Lig,First Tier
57071,23826,2015-07-01,€3.00m,RB Leipzig,Germany,Bundesliga,First Tier
57280,430,2020-09-10,free transfer,ACF Fiorentina,Italy,Serie A,First Tier
57500,13,2023-07-06,free transfer,Atlético de Madrid,Spain,LaLiga,First Tier
57796,2036,2017-01-17,?,1.FC Heidenheim 1846,Germany,Bundesliga,First Tier
58088,141,2011-08-11,€6.75m,Galatasaray,Türkiye,Süper Lig,First Tier
58267,979,2024-01-17,free transfer,Moreirense FC,Portugal,Liga Portugal,First Tier
58358,27,2009-07-01,,Bayern Munich,Germany,Bundesliga,First Tier
58864,244,2023-07-21,free transfer,Olympique Marseille,France,Ligue 1,First Tier
58884,418,2012-09-01,,Real Madrid,Spain,LaLiga,First Tier
58965,2431,2024-01-31,free transfer,CF Estrela Amadora SAD,Portugal,Liga Portugal,First Tier
58993,370,2024-02-16,,Aberdeen FC,Scotland,Scottish Premiership,First Tier
58995,86,2021-07-01,free transfer,SV Werder Bremen,Germany,Bundesliga,First Tier
59016,418,2021-07-01,free transfer,Real Madrid,Spain,LaLiga,First Tier
59248,2431,2021-12-01,,CF Estrela Amadora SAD,Portugal,Liga Portugal,First Tier
59323,12321,2017-07-21,€2.50m,Girona FC,Spain,LaLiga,First Tier
59377,515,2023-07-01,,,,,
59543,987,2024-07-01,free transfer,Motherwell FC,Scotland,Scottish Premiership,First Tier
59561,1050,2020-08-12,€2.25m,Villarreal CF,Spain,LaLiga,First Tier
59641,2282,2022-01-31,€700k,Club Brugge KV,Belgium,Jupiler Pro League,First Tier
59772,5225,2021-07-16,free transfer,FC Zbrojovka Brno,Czech Republic,Fortuna Narodni liga,Second Tier
59791,110302,2023-07-01,free transfer,Avs Futebol SAD,Portugal,Liga Portugal 2,Second Tier
59970,660,2010-07-01,?,Shakhtar Donetsk,Ukraine,Premier Liga,First Tier
60543,738,2019-07-01,free transfer,Le Havre AC,France,Ligue 1,First Tier
60561,1041,2011-07-01,,Olympique Lyon,France,Ligue 1,First Tier
61697,515,2024-07-01,,,,,
61764,4294,2022-07-01,free transfer,SC Farense,Portugal,Liga Portugal,First Tier
61812,621,2018-07-02,€24.00m,Athletic Bilbao,Spain,LaLiga,First Tier
61841,989,2014-01-28,?,AFC Bournemouth,England,Premier League,First Tier
61842,1031,2023-10-11,,Luton Town,England,Premier League,First Tier
62121,17209,2023-08-15,free transfer,Al-Wehda FC,Saudi Arabia,Saudi Pro League,First Tier
62351,1420,2017-01-01,,Angers SCO,France,Ligue 2,Second Tier
63047,6541,2023-09-02,free transfer,SK Slavia Prague B,Czech Republic,Ceska fotbalova liga,Third Tier
63443,4309,2023-03-08,free transfer,Hamarkameratene,Norway,Eliteserien,First Tier
63751,450,2023-07-01,free transfer,FK Dukla Prague,Czech Republic,Fortuna Narodni liga,Second Tier
63828,450,2007-07-01,?,FK Dukla Prague,Czech Republic,Fortuna Narodni liga,Second Tier
63859,1496,2017-07-01,free transfer,FK Pardubice,Czech Republic,Fortuna Liga,First Tier
63955,1897,2023-07-01,free transfer,FC Hradec Kralove,Czech Republic,Fortuna Liga,First Tier
