player_id,latest_market_value,latest_transfer_date,latest_fee,from_club,to_club
3333,1500000,2023-07-01,free transfer,31,1237
7161,13000000,2023-07-05,€10.00m,18,15
7825,700000,2022-07-08,free transfer,398,1050
8198,20000000,2023-01-01,,515,18544
11530,2000000,2021-08-05,free transfer,667,3205
12282,3000000,2023-07-07,free transfer,27,12321
12589,800000,2020-07-01,free transfer,371,43
14086,600000,2023-07-13,free transfer,405,29
14555,300000,2021-07-20,free transfer,22,281
15185,400000,2021-07-06,free transfer,589,428
15956,3000000,2025-01-01,,368,123
16136,2000000,2016-08-23,€2.50m,82,417
16306,40000000,2022-08-22,€70.65m,418,985
16911,2000000,2023-09-05,free transfer,417,58
17259,28000000,2011-07-01,€30.00m,33,27
18922,25000000,2023-07-01,free transfer,418,8023
21040,250000,2009-01-01,?,12823,715
21101,300000,2019-07-03,free transfer,941,5544
23951,1500000,2022-07-06,free transfer,244,273
26906,300000,2017-07-12,?,197,5546
27178,300000,2019-07-01,free transfer,7378,2424
27493,100000,2023-08-28,free transfer,2448,237
27807,400000,2021-07-01,free transfer,46,410
28308,200000,2022-01-03,free transfer,515,168
28356,400000,2019-08-01,free transfer,855,995
28396,4000000,2023-07-01,free transfer,46,36
29241,1000000,2024-07-10,free transfer,631,2462
29364,1500000,2023-08-25,free transfer,543,1075
29692,5000000,2018-07-01,€8.00m,2288,379
29712,300000,2022-07-14,free transfer,543,337
31599,700000,2015-07-01,free transfer,23,2036
31653,1000000,2015-07-01,free transfer,2,18
32113,3000000,2023-07-05,€3.00m,416,2919
33571,2500000,2020-09-17,free transfer,416,1025
33706,275000,2024-05-08,,3840,515
33781,300000,2023-08-29,€200k,1158,1082
33829,300000,2024-07-01,,1075,515
33862,1500000,2022-07-01,free transfer,157,968
33873,800000,2023-07-17,free transfer,29,1039
34130,1000000,2021-07-02,free transfer,405,985
34542,500000,2021-07-05,free transfer,167,5546
35047,4000000,2022-07-06,free transfer,16,13
35645,200000,2022-01-26,?,715,1496
36139,6000000,2023-07-16,free transfer,610,36
36898,400000,2022-08-08,free transfer,65,35
37920,1000000,2021-08-21,free transfer,984,324
38195,75000,2022-07-09,,515,44006
38253,45000000,2022-07-19,€45.00m,27,131
38746,500000,2023-01-30,,515,255
38780,400000,2021-07-01,free transfer,829,2425
39125,2000000,2018-08-07,€2.45m,327,124
39333,375000,2023-07-11,free transfer,6890,7160
39728,35000000,2019-07-01,€30.50m,27,16
40034,200000,2021-07-19,€250k,79,24
40433,4000000,2023-08-26,free transfer,244,46
40478,600000,2022-02-24,,515,968
40633,2000000,2020-09-16,€1.95m,398,252
40680,900000,2021-07-01,free transfer,41,27
41131,275000,2023-08-03,?,465,511
41335,400000,2020-01-18,?,1100,1293
41384,5000000,2024-07-01,€8.00m,1025,46
41997,50000,2010-01-01,free transfer,547,2817
42205,5000000,2023-08-07,€6.75m,27,46
42401,4000000,2017-01-04,€900k,16704,255
42412,2000000,2023-07-18,free transfer,1003,985
42710,7000000,2022-07-15,€4.00m,26091,1096
42717,150000,2022-07-01,?,52,475
42735,2500000,2020-07-01,€1.50m,58,157
43250,2000000,2022-09-02,free transfer,294,58
43530,1000000,2024-07-01,,1237,515
43824,450000,2015-07-01,?,102,2036
44058,17000000,2017-07-19,€18.40m,11,506
44422,200000,2018-01-10,?,814,5546
44996,3500000,2019-01-31,free transfer,141,36
45026,10000000,2021-07-13,€11.80m,543,12
45146,1500000,2023-09-15,free transfer,321,3840
45320,8000000,2023-07-05,free transfer,506,294
45403,1200000,2023-11-11,,515,738
45425,1300000,2020-08-03,free transfer,144,324
45494,250000,2024-07-01,,703,515
45671,2000000,2022-07-02,free transfer,29,114
45672,10000000,2019-08-07,€7.00m,583,24
45683,1000000,2016-07-01,€1.20m,48,60
45717,25000,2023-07-01,,7119,110302
46252,1200000,2023-07-31,€700k,2293,6070
46413,9000000,2021-07-01,€8.00m,237,331
46552,500000,2023-08-30,free transfer,4171,5689
46580,7500000,2016-07-01,€11.00m,1003,533
48015,10000000,2018-07-01,free transfer,24,15
48119,2250000,2019-08-29,free transfer,18487,6890
49499,8000000,2023-09-02,€8.00m,583,7732
49723,2500000,2014-07-01,€1.00m,4,24
50219,8000000,2019-08-05,€7.00m,31,2282
50655,150000,2013-07-17,?,1204,11282
51100,2250000,2012-08-31,free transfer,82,44
51152,28000000,2023-08-19,€52.60m,931,1114
51471,38000000,2023-07-01,€29.10m,631,281
51894,2400000,2021-08-15,€1.30m,6890,114
51977,800000,2018-07-01,€500k,413,82
52059,1500000,2021-09-09,free transfer,36,1148
52261,1500000,2014-07-11,free transfer,1267,6890
52281,775000,2021-07-05,free transfer,2832,589
52570,2000000,2022-07-01,free transfer,180,148
52769,4000000,2022-09-01,free transfer,199,931
53418,15000000,2017-08-31,€20.00m,15,23826
53622,20000000,2023-07-01,free transfer,281,131
54775,600000,2018-07-25,free transfer,9636,687
54906,7000000,2021-07-01,€3.30m,130,46
55089,7000000,2014-07-01,€5.50m,60,533
55099,800000,2013-06-30,End of loan,94,60
55508,600000,2021-08-17,free transfer,164,269
55605,200000,2023-09-15,?,868,3205
55666,300000,2024-01-01,free transfer,2352,9811
55735,8000000,2022-07-01,free transfer,12,46
55769,1500000,2023-08-02,free transfer,46,2919
56416,4000000,2022-08-08,free transfer,6195,141
57071,1750000,2015-07-01,€3.00m,409,23826
57280,7000000,2020-09-10,free transfer,5,430
57500,5000000,2023-07-06,free transfer,631,13
57796,250000,2017-01-17,?,72,2036
58088,12000000,2011-08-11,€6.75m,398,141
58267,200000,2024-01-17,free transfer,1075,979
58358,750000,2009-07-01,,28,27
58864,4000000,2023-07-21,free transfer,631,244
58884,1500000,2012-09-01,,6767,418
58965,100000,2024-01-31,free transfer,3329,2431
58993,400000,2024-02-16,,515,370
58995,800000,2021-07-01,free transfer,206,86
59016,55000000,2021-07-01,free transfer,27,418
59248,100000,2021-12-01,,515,2431
59323,3500000,2017-07-21,€2.50m,641,12321
59377,13000000,2023-07-01,,985,515
59543,300000,2024-07-01,free transfer,43,987
59561,20000000,2020-08-12,€2.25m,1049,1050
59641,500000,2022-01-31,€700k,931,2282
59772,200000,2021-07-16,free transfer,814,5225
59791,100000,2023-07-01,free transfer,475,110302
59970,1600000,2010-07-01,?,6994,660
60543,1000000,2019-07-01,free transfer,1041,738
60561,50000,2011-07-01,,12764,1041
61697,900000,2024-07-01,,350,515
61764,125000,2022-07-01,free transfer,982,4294
61812,17000000,2018-07-02,€24.00m,583,621
61841,300000,2014-01-28,?,148,989
61842,1500000,2023-10-11,,515,1031
62121,1800000,2023-08-15,free transfer,1114,17209
62351,1000000,2017-01-01,,515,1420
63047,175000,2023-09-02,free transfer,5546,6541
63443,300000,2023-03-08,free transfer,1274,4309
63751,175000,2023-07-01,free transfer,814,450
63859,175000,2017-07-01,free transfer,1897,1496
63955,350000,2023-07-01,free transfer,941,1897
63965,200000,2020-08-15,free transfer,1321,697
64000,1200000,2024-02-13,,515,1532
64303,125000,2022-01-03,?,7918,5544
64399,1000000,2023-09-01,free transfer,873,940
64793,11000000,2017-08-30,€9.80m,6195,1390
65278,5000000,2021-08-19,free transfer,12,398
66100,5000000,2023-07-19,€3.40m,12321,131
67063,5500000,2020-10-18,free transfer,1010,1237
67556,1000000,2024-01-26,€2.00m,276,2919
67797,800000,2024-06-30,End of loan,540,159
68390,1000000,2010-05-31,End of loan,1181,29
68626,1000000,2021-02-07,€663k,9840,1114
68863,19000000,2023-07-26,€10.00m,583,141
69633,20000000,2022-07-15,free transfer,1148,985
70131,200000,2023-07-06,free transfer,197,44006
70170,600000,2020-01-20,?,498,814
70176,150000,2024-06-30,End of loan,450,28893
70359,250000,2022-01-10,,515,8024
70580,350000,2023-07-13,free transfer,4326,46
70639,75000,2010-06-30,End of loan,8685,5544
70690,100000,2024-06-30,End of loan,13726,377
70699,300000,2018-07-30,?,13726,5544
71019,400000,2021-01-09,free transfer,2722,238
71271,3500000,2019-08-05,free transfer,379,31
71292,2800000,2024-06-30,End of loan,126,703
72047,4000000,2015-07-07,€5.30m,368,940
72414,150000,2023-07-18,free transfer,1081,273
72441,5000000,2015-08-26,€3.87m,585,800
72476,9000000,2022-08-02,€3.60m,11,931
72736,200000,2020-08-12,free transfer,1199,3948
72768,800000,2024-01-24,free transfer,2293,2420
72947,25000,2023-07-01,free transfer,422,1321
73323,400000,2023-08-31,,515,10217
73327,300000,2020-01-09,free transfer,195,239
73333,725000,2022-01-15,€800k,6646,76
73396,5000000,2022-07-11,free transfer,6195,18544
73517,600000,2023-08-20,free transfer,23826,368
73564,750000,2018-07-01,free transfer,289,1237
73782,1000000,2020-01-01,free transfer,16795,2352
73794,8000000,2024-07-01,€5.60m,800,416
73926,2000000,2024-06-30,End of loan,430,276
74230,20000000,2023-01-17,€5.00m,583,543
74294,6500000,2019-07-23,free transfer,10948,368
74475,400000,2021-01-01,?,11648,10090
74641,200000,2022-08-16,free transfer,449,1467
74668,250000,2024-01-01,free transfer,2350,11648
74683,3500000,2024-01-27,€2.60m,273,1041
74810,2500000,2022-07-22,free transfer,1132,1148
74842,10000000,2022-07-01,€3.00m,383,24
74857,20000000,2014-07-01,€12.00m,18,131
74960,4000000,2023-01-01,End of loan,985,762
75411,800000,2017-06-30,End of loan,22045,506
75458,2000000,2022-07-01,€3.50m,12,405
75471,250000,2024-03-11,free transfer,515,7178
75489,13000000,2023-08-31,€17.00m,86,16
75921,900000,2014-07-01,free transfer,170,89
75942,800000,2023-08-16,free transfer,1038,221
76158,700000,2022-07-01,free transfer,109,16
76274,800000,2023-07-20,free transfer,2919,607
76326,400000,2024-07-01,free transfer,1064,1096
76467,2500000,2022-07-28,€980k,1010,1050
76648,300000,2024-01-01,?,20590,11854
76655,250000,2021-02-24,free transfer,13726,88
77001,300000,2023-03-08,,515,723
77100,6000000,2023-08-02,free transfer,148,585
77710,100000,2009-07-01,,4521,114
77715,400000,2024-01-17,free transfer,41030,511
78047,200000,2014-07-01,free transfer,3161,1290
78243,100000,2013-07-01,free transfer,21613,3527
78339,400000,2024-02-13,free transfer,868,88
78507,100000,2023-07-28,free transfer,28643,41274
78570,450000,2020-07-30,free transfer,1199,3948
79110,125000,2023-09-15,free transfer,449,2381
79294,600000,2023-07-18,free transfer,813,499
79967,1100000,2023-09-01,?,80,35
80059,1000000,2024-06-30,End of loan,36,6646
80444,7500000,2024-06-30,End of loan,26091,405
80894,7000000,2018-07-01,€9.00m,12,1025
81512,1000000,2023-07-25,€6.50m,1010,410
81800,800000,2021-07-02,free transfer,941,715
81991,300000,2015-06-30,End of loan,11117,5544
82009,8000000,2023-08-17,€4.00m,162,89
82048,1500000,2023-09-11,,515,1005
82350,1250000,2011-12-31,End of loan,24,39
82503,1000000,2023-07-05,free transfer,331,367
82873,4000000,2017-07-01,€3.00m,4795,1237
83616,750000,2019-07-01,free transfer,3551,324
84301,10000000,2019-07-17,€7.00m,273,1082
84435,2500000,2024-01-11,?,533,89
84711,400000,2022-07-01,free transfer,45457,982
84765,1500000,2023-07-01,€1.50m,1038,749
84938,1200000,2024-01-06,,515,409
84992,100000,2010-07-01,,8924,371
85177,8000000,2020-10-14,free transfer,31,873
85288,5000000,2023-07-26,,515,150
85291,1100000,2023-01-26,?,589,152
85295,1000000,2021-07-14,free transfer,3302,367
85314,35000000,2017-01-01,€60.00m,631,27190
85370,7500000,2013-07-01,,2464,131
85393,600000,2022-07-02,free transfer,1025,1390
85528,9000000,2021-07-20,€2.20m,276,410
85543,250000,2019-06-30,End of loan,254,15
85627,350000,2018-07-01,free transfer,511,371
85791,12500000,2019-07-01,€12.50m,409,18
85906,2300000,2022-07-01,free transfer,24,39
85941,6000000,2022-07-01,free transfer,10,281
86083,200000,2024-01-02,free transfer,10118,4096
86202,40000000,2022-07-01,free transfer,631,418
86784,3500000,2020-09-01,€1.95m,5,416
87854,800000,2023-09-01,€300k,589,7160
88103,6000000,2023-07-29,,515,585
88262,3500000,2022-08-22,€2.00m,44,2282
88374,400000,2020-01-17,free transfer,10484,589
88595,150000,2023-07-01,free transfer,4031,1047
88647,350000,2023-07-01,free transfer,109,35
88680,1800000,2021-07-17,€800k,4171,2919
88682,7500000,2021-06-30,End of loan,1041,506
88685,300000,2021-08-20,free transfer,5,3037
88755,45000000,2015-08-30,€76.00m,82,281
89231,1000000,2024-07-01,,1132,515
89647,75000,2024-01-31,free transfer,4309,23184
89654,250000,2021-07-07,free transfer,3948,968
90317,350000,2023-07-01,?,1,39
90681,700000,2023-08-07,,515,1465
91059,8000000,2022-07-13,free transfer,1010,36
91315,300000,2023-07-21,free transfer,370,2553
91845,16000000,2015-08-28,€30.00m,15,148
91945,100000,2023-07-04,free transfer,10484,11282
91949,100000,2023-07-01,,7119,110302
91970,4000000,2023-07-19,free transfer,506,46
92076,750000,2022-07-05,€936k,6632,9840
92164,5000000,2023-08-15,€2.00m,2282,58
92571,1500000,2014-07-03,€4.75m,677,379
92572,1000000,2012-07-01,€650k,1020,873
92751,100000,2023-01-17,free transfer,13025,1057
92947,3000000,2021-07-28,€1.00m,368,714
93128,15000000,2023-07-01,€23.00m,631,1114
93604,700000,2015-07-01,free transfer,254,60
93720,15000000,2022-07-01,free transfer,11,1041
93740,2500000,2015-07-01,€2.00m,2,23826
93763,900000,2023-07-26,free transfer,44,89
93827,1500000,2021-07-05,free transfer,33,269
93844,4800000,2020-07-15,€7.00m,533,86
93936,1800000,2023-08-13,free transfer,331,1108
94005,8000000,2023-07-06,free transfer,244,800
94030,350000,2016-07-01,€350k,238,2036
94172,700000,2020-02-20,€140k,697,2311
94192,600000,2023-07-01,free transfer,254,48
94199,700000,2023-07-11,€350k,44,868
94308,8000000,2021-07-04,free transfer,1533,368
94529,8000000,2021-01-30,free transfer,3183,12
95424,30000000,2017-07-14,€52.70m,148,281
95604,1000000,2023-08-14,€300k,157,7160
95732,6000000,2022-09-01,free transfer,131,714
95736,600000,2022-07-14,€940k,839,130
95792,350000,2022-06-30,End of loan,715,1322
95802,350000,2022-01-03,free transfer,5544,2311
95805,250000,2018-07-01,?,1322,715
95810,18000000,2022-01-07,€14.00m,13,762
95950,400000,2023-07-01,?,1071,370
95976,3000000,2016-08-01,€4.70m,873,180
96047,600000,2012-07-12,€450k,197,941
96254,800000,2019-07-07,free transfer,749,430
96341,30000000,2024-06-30,End of loan,12,631
98067,500000,2022-09-02,free transfer,2578,43
98131,650000,2022-08-03,free transfer,11688,152
99331,18000000,2021-08-13,€17.60m,180,1003
99343,4000000,2023-01-31,free transfer,583,621
99353,3500000,2023-09-01,€1.50m,3709,12321
99451,450000,2019-07-01,?,108,30
99922,3700000,2023-07-24,free transfer,449,150
100131,25000000,2018-07-13,€18.50m,336,150
100986,2500000,2024-02-07,free transfer,16,449
101500,1700000,2023-01-01,,515,941
