full_name,team_name,competition,profile_url,relative_profile_url,season
Thibaut Courtois,Real Madrid,ES1,https://www.transfermarkt.com/thibaut-courtois/profil/spieler/108390,/thibaut-courtois/profil/spieler/108390,2024
Andriy Lunin,Real Madrid,ES1,https://www.transfermarkt.com/andriy-lunin/profil/spieler/404839,/andriy-lunin/profil/spieler/404839,2024
Fran González,Real Madrid,ES1,https://www.transfermarkt.com/fran-gonzalez/profil/spieler/1055220,/fran-gonzalez/profil/spieler/1055220,2024
Sergio Mestre,Real Madrid,ES1,https://www.transfermarkt.com/sergio-mestre/profil/spieler/973314,/sergio-mestre/profil/spieler/973314,2024
Dean Huijsen,Real Madrid,ES1,https://www.transfermarkt.com/dean-huijsen/profil/spieler/890290,/dean-huijsen/profil/spieler/890290,2024
Raúl Asencio,Real Madrid,ES1,https://www.transfermarkt.com/raul-asencio/profil/spieler/935245,/raul-asencio/profil/spieler/935245,2024
Éder Militão,Real Madrid,ES1,https://www.transfermarkt.com/eder-militao/profil/spieler/401530,/eder-militao/profil/spieler/401530,2024
Antonio Rüdiger,Real Madrid,ES1,https://www.transfermarkt.com/antonio-rudiger/profil/spieler/86202,/antonio-rudiger/profil/spieler/86202,2024
David Alaba,Real Madrid,ES1,https://www.transfermarkt.com/david-alaba/profil/spieler/59016,/david-alaba/profil/spieler/59016,2024
Jacobo Ramón,Real Madrid,ES1,https://www.transfermarkt.com/jacobo-ramon/profil/spieler/948278,/jacobo-ramon/profil/spieler/948278,2024
Diego Aguado,Real Madrid,ES1,https://www.transfermarkt.com/diego-aguado/profil/spieler/1208520,/diego-aguado/profil/spieler/1208520,2024
Jesús Vallejo,Real Madrid,ES1,https://www.transfermarkt.com/jesus-vallejo/profil/spieler/251896,/jesus-vallejo/profil/spieler/251896,2024
Víctor Valdepeñas,Real Madrid,ES1,https://www.transfermarkt.com/victor-valdepenas/profil/spieler/1186245,/victor-valdepenas/profil/spieler/1186245,2024
Mario Rivas,Real Madrid,ES1,https://www.transfermarkt.com/mario-rivas/profil/spieler/1176520,/mario-rivas/profil/spieler/1176520,2024
Fran García,Real Madrid,ES1,https://www.transfermarkt.com/fran-garcia/profil/spieler/341264,/fran-garcia/profil/spieler/341264,2024
Ferland Mendy,Real Madrid,ES1,https://www.transfermarkt.com/ferland-mendy/profil/spieler/291417,/ferland-mendy/profil/spieler/291417,2024
Youssef Enríquez,Real Madrid,ES1,https://www.transfermarkt.com/youssef-enriquez/profil/spieler/741289,/youssef-enriquez/profil/spieler/741289,2024
Trent Alexander-Arnold,Real Madrid,ES1,https://www.transfermarkt.com/trent-alexander-arnold/profil/spieler/314353,/trent-alexander-arnold/profil/spieler/314353,2024
Daniel Carvajal,Real Madrid,ES1,https://www.transfermarkt.com/daniel-carvajal/profil/spieler/138927,/daniel-carvajal/profil/spieler/138927,2024
Lucas Vázquez,Real Madrid,ES1,https://www.transfermarkt.com/lucas-vazquez/profil/spieler/221316,/lucas-vazquez/profil/spieler/221316,2024
David Jiménez,Real Madrid,ES1,https://www.transfermarkt.com/david-jimenez/profil/spieler/935281,/david-jimenez/profil/spieler/935281,2024
Jesús Fortea,Real Madrid,ES1,https://www.transfermarkt.com/jesus-fortea/profil/spieler/937950,/jesus-fortea/profil/spieler/937950,2024
Lorenzo Aguado,Real Madrid,ES1,https://www.transfermarkt.com/lorenzo-aguado/profil/spieler/709997,/lorenzo-aguado/profil/spieler/709997,2024
Aurélien Tchouaméni,Real Madrid,ES1,https://www.transfermarkt.com/aurelien-tchouameni/profil/spieler/413112,/aurelien-tchouameni/profil/spieler/413112,2024
Mario Martín,Real Madrid,ES1,https://www.transfermarkt.com/mario-martin/profil/spieler/948273,/mario-martin/profil/spieler/948273,2024
Federico Valverde,Real Madrid,ES1,https://www.transfermarkt.com/federico-valverde/profil/spieler/369081,/federico-valverde/profil/spieler/369081,2024
Eduardo Camavinga,Real Madrid,ES1,https://www.transfermarkt.com/eduardo-camavinga/profil/spieler/640428,/eduardo-camavinga/profil/spieler/640428,2024
Dani Ceballos,Real Madrid,ES1,https://www.transfermarkt.com/dani-ceballos/profil/spieler/319745,/dani-ceballos/profil/spieler/319745,2024
Luka Modrić,Real Madrid,ES1,https://www.transfermarkt.com/luka-modric/profil/spieler/27992,/luka-modric/profil/spieler/27992,2024
Chema Andrés,Real Madrid,ES1,https://www.transfermarkt.com/chema-andres/profil/spieler/948279,/chema-andres/profil/spieler/948279,2024
Jude Bellingham,Real Madrid,ES1,https://www.transfermarkt.com/jude-bellingham/profil/spieler/581678,/jude-bellingham/profil/spieler/581678,2024
