full_name,team_name,competition,profile_url,relative_profile_url,season
Thibaut Courtois,Real Madrid,ES1,https://www.transfermarkt.com/thibaut-courtois/profil/spieler/108390,/thibaut-courtois/profil/spieler/108390,2024
Andriy Lunin,Real Madrid,ES1,https://www.transfermarkt.com/andriy-lunin/profil/spieler/404839,/andriy-lunin/profil/spieler/404839,2024
Fran González,Real Madrid,ES1,https://www.transfermarkt.com/fran-gonzalez/profil/spieler/1055220,/fran-gonzalez/profil/spieler/1055220,2024
Sergio Mestre,Real Madrid,ES1,https://www.transfermarkt.com/sergio-mestre/profil/spieler/973314,/sergio-mestre/profil/spieler/973314,2024
Dean Huijsen,Real Madrid,ES1,https://www.transfermarkt.com/dean-huijsen/profil/spieler/890290,/dean-huijsen/profil/spieler/890290,2024
Raúl Asencio,Real Madrid,ES1,https://www.transfermarkt.com/raul-asencio/profil/spieler/935245,/raul-asencio/profil/spieler/935245,2024
Éder Militão,Real Madrid,ES1,https://www.transfermarkt.com/eder-militao/profil/spieler/401530,/eder-militao/profil/spieler/401530,2024
Antonio Rüdiger,Real Madrid,ES1,https://www.transfermarkt.com/antonio-rudiger/profil/spieler/86202,/antonio-rudiger/profil/spieler/86202,2024
David Alaba,Real Madrid,ES1,https://www.transfermarkt.com/david-alaba/profil/spieler/59016,/david-alaba/profil/spieler/59016,2024
Jacobo Ramón,Real Madrid,ES1,https://www.transfermarkt.com/jacobo-ramon/profil/spieler/948278,/jacobo-ramon/profil/spieler/948278,2024
Marc-André ter Stegen,FC Barcelona,ES1,https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857,/marc-andre-ter-stegen/profil/spieler/74857,2024
Iñaki Peña,FC Barcelona,ES1,https://www.transfermarkt.com/inaki-pena/profil/spieler/283170,/inaki-pena/profil/spieler/283170,2024
Wojciech Szczesny,FC Barcelona,ES1,https://www.transfermarkt.com/wojciech-szczesny/profil/spieler/44058,/wojciech-szczesny/profil/spieler/44058,2024
Ander Astralaga,FC Barcelona,ES1,https://www.transfermarkt.com/ander-astralaga/profil/spieler/709955,/ander-astralaga/profil/spieler/709955,2024
Diego Kochen,FC Barcelona,ES1,https://www.transfermarkt.com/diego-kochen/profil/spieler/938144,/diego-kochen/profil/spieler/938144,2024
Áron Yaakobishvili,FC Barcelona,ES1,https://www.transfermarkt.com/aron-yaakobishvili/profil/spieler/938145,/aron-yaakobishvili/profil/spieler/938145,2024
Pau Cubarsí,FC Barcelona,ES1,https://www.transfermarkt.com/pau-cubarsi/profil/spieler/962110,/pau-cubarsi/profil/spieler/962110,2024
Ronald Araujo,FC Barcelona,ES1,https://www.transfermarkt.com/ronald-araujo/profil/spieler/480267,/ronald-araujo/profil/spieler/480267,2024
Eric García,FC Barcelona,ES1,https://www.transfermarkt.com/eric-garcia/profil/spieler/466794,/eric-garcia/profil/spieler/466794,2024
Andreas Christensen,FC Barcelona,ES1,https://www.transfermarkt.com/andreas-christensen/profil/spieler/196948,/andreas-christensen/profil/spieler/196948,2024
Ederson,Manchester City,GB1,https://www.transfermarkt.com/ederson/profil/spieler/238223,/ederson/profil/spieler/238223,2024
Stefan Ortega,Manchester City,GB1,https://www.transfermarkt.com/stefan-ortega/profil/spieler/85941,/stefan-ortega/profil/spieler/85941,2024
Marcus Bettinelli,Manchester City,GB1,https://www.transfermarkt.com/marcus-bettinelli/profil/spieler/116648,/marcus-bettinelli/profil/spieler/116648,2024
Scott Carson,Manchester City,GB1,https://www.transfermarkt.com/scott-carson/profil/spieler/14555,/scott-carson/profil/spieler/14555,2024
Spike Brits,Manchester City,GB1,https://www.transfermarkt.com/spike-brits/profil/spieler/1080903,/spike-brits/profil/spieler/1080903,2024
Max Hudson,Manchester City,GB1,https://www.transfermarkt.com/max-hudson/profil/spieler/1082283,/max-hudson/profil/spieler/1082283,2024
Josko Gvardiol,Manchester City,GB1,https://www.transfermarkt.com/josko-gvardiol/profil/spieler/475959,/josko-gvardiol/profil/spieler/475959,2024
Rúben Dias,Manchester City,GB1,https://www.transfermarkt.com/ruben-dias/profil/spieler/258004,/ruben-dias/profil/spieler/258004,2024
Abdukodir Khusanov,Manchester City,GB1,https://www.transfermarkt.com/abdukodir-khusanov/profil/spieler/763079,/abdukodir-khusanov/profil/spieler/763079,2024
Vitor Reis,Manchester City,GB1,https://www.transfermarkt.com/vitor-reis/profil/spieler/1005575,/vitor-reis/profil/spieler/1005575,2024
Robert Sánchez,Chelsea FC,GB1,https://www.transfermarkt.com/robert-sanchez/profil/spieler/403151,/robert-sanchez/profil/spieler/403151,2024
