player_name,club,transfer_date,player_age_at_transfer,transfer_fee,solidarity_contribution,season,extracted_at
Enzo Barrenechea,Enzo Barrenechea - Valencia -&gt; Aston Villa,08/30/2024,23,€7.50m,€0.38m,,2025-09-12T20:57:53.336875
Enzo Barrenechea,Enzo Barrenechea - Aston Villa -&gt; Valencia,07/01/2024,22,€7.50m,€0.38m,,2025-09-12T20:57:53.336955
Enzo Barrenechea,Enzo Barrenechea - Juventus -&gt; Aston Villa,06/30/2024,23,€7.50m,€0.38m,,2025-09-12T20:57:53.336979
Enzo Barrenechea,Enzo Barrenechea - Frosinone -&gt; Juventus,08/15/2023,22,€900k,€45k,,2025-09-12T20:57:53.337195
Enzo Barrenechea,Enzo Barrenechea - Juventus -&gt; Frosinone,04/01/2023,21,€900k,€45k,,2025-09-12T20:57:53.337257
Enzo Barrenechea,Enzo Barrenechea - Juve Next Gen -&gt; Juventus,07/01/2021,19,€400k,€20k,,2025-09-12T20:57:53.337290
Enzo Barrenechea,Enzo Barrenechea - Juventus U20 -&gt; Juve Next Gen,01/31/2020,18,€100k,€5k,,2025-09-12T20:57:53.337351
Enzo Barrenechea,Enzo Barrenechea - FC Sion -&gt; Juventus U20,08/22/2019,18,€3.10m,€0.16m,,2025-09-12T20:57:53.337399
Enzo Barrenechea,Enzo Barrenechea - Newell's II -&gt; FC Sion,01/01/2019,17,€19.30m,€0.97m,,2025-09-12T20:57:53.337415
Pepelu,Pepelu - Levante -&gt; Valencia,06/30/2021,22,€2.50m,€0.12m,,2025-09-12T21:06:26.027325
Pepelu,Pepelu - Vit. Guimarães -&gt; Levante,09/08/2020,21,€1.50m,€0.08m,,2025-09-12T21:06:26.027626
Pepelu,Pepelu - Levante -&gt; Vit. Guimarães,07/27/2020,21,€900k,€45k,,2025-09-12T21:06:26.027644
Pepelu,Pepelu - Tondela -&gt; Levante,07/26/2019,20,€300k,€15k,,2025-09-12T21:06:26.027658
Pepelu,Pepelu - Levante -&gt; Tondela,07/01/2019,20,€300k,€15k,,2025-09-12T21:06:26.027667
Pepelu,Pepelu - Atl. Levante -&gt; Levante,06/30/2018,19,€300k,€15k,,2025-09-12T21:06:26.027680
Pepelu,Pepelu - Hércules CF -&gt; Atl. Levante,08/15/2017,19,€300k,€15k,,2025-09-12T21:06:26.027693
Pepelu,Pepelu - Atl. Levante -&gt; Hércules CF,07/01/2014,15,€0,€0.00,,2025-09-12T21:06:26.027703
Pepelu,Pepelu - Levante UD Yout -&gt; Levante U19,07/01/2012,13,€5.00m,€0.25m,,2025-09-12T21:06:26.027712
Hugo Guillamón,Hugo Guillamón - Valencia -&gt; Hajduk Split,07/01/2020,19,€200k,€10k,,2025-09-12T21:06:39.998309
Hugo Guillamón,Hugo Guillamón - Valencia B -&gt; Valencia,07/01/2018,17,€50k,€2k,,2025-09-12T21:06:39.998393
Hugo Guillamón,Hugo Guillamón - Valencia U19 -&gt; Valencia B,07/01/2017,16,€0,€0.00,,2025-09-12T21:06:39.998410
Diego López,Spain,07/01/2023,20,€1.50m,€0.08m,,2025-09-12T21:09:44.197733
Diego López,Diego López - Valencia B -&gt; Valencia,07/01/2020,17,€0,€0.00,,2025-09-12T21:09:44.197815
Diego López,Diego López - Barça U18 -&gt; Barça U19,07/17/2017,15,€0,€0.00,,2025-09-12T21:09:44.197857
